zipcode,year,precio_promedio,tamano_promedio,habitaciones_promedio
98030,2015,297393.11881188117,1946.851485148515,3.5346534653465347
98126,2015,452018.0099009901,1573.5643564356435,2.9405940594059405
98115,2015,633354.3333333334,1714.263440860215,3.139784946236559
98032,2014,248700.3448275862,1712.7931034482758,3.3448275862068964
98065,2015,546640.8648648649,2569.189189189189,3.5315315315315314
98028,2015,476956.0,2154.765306122449,3.520408163265306
98011,2014,484805.1830985916,2255.556338028169,3.4859154929577465
98056,2015,417126.5035460993,2012.2695035460993,3.50354609929078
98103,2014,578038.9629629629,1671.5277777777778,3.0902777777777777
98072,2015,561663.6701030928,2317.1134020618556,3.5670103092783507
98029,2015,619370.9782608695,2244.5652173913045,3.380434782608696
98002,2014,234215.7803030303,1640.1439393939395,3.371212121212121
98004,2014,1295630.1714285715,2882.8571428571427,3.8666666666666667
98116,2015,641194.0701754387,1830.438596491228,3.043859649122807
98006,2015,929326.1721854304,2950.708609271523,3.80794701986755
98126,2014,413803.2845849802,1531.6324110671937,2.794466403162055
98008,2014,645482.5544041451,2178.704663212435,3.756476683937824
98133,2015,419265.3953488372,1684.9011627906978,3.203488372093023
98118,2014,410130.91639871383,1712.7234726688102,3.0836012861736335
98042,2014,306969.5813953488,1992.7587209302326,3.4156976744186047
98059,2015,493465.2302631579,2362.6973684210525,3.6842105263157894
98003,2015,297560.4375,1925.78125,3.3854166666666665
98052,2015,661818.993670886,2345.715189873418,3.632911392405063
98055,2014,298219.32558139536,1770.3313953488373,3.1686046511627906
98178,2014,306093.5135135135,1703.7837837837837,3.308108108108108
98045,2014,424430.2469879518,2025.6927710843374,3.2349397590361444
98001,2014,275250.8693877551,1889.0163265306123,3.3551020408163263
98004,2015,1474266.8130841122,2960.373831775701,3.8317757009345796
98059,2014,493594.5253164557,2423.3544303797466,3.7341772151898733
98038,2014,362377.0689655172,2160.0106100795756,3.46684350132626
98155,2014,416564.2697368421,1778.3881578947369,3.2828947368421053
98199,2014,790335.5186915888,2176.355140186916,3.2336448598130842
98023,2015,286895.756097561,1956.0182926829268,3.3292682926829267
98103,2015,602403.1352941176,1598.235294117647,2.9823529411764707
98053,2015,667665.6854838709,2462.8225806451615,3.1129032258064515
98146,2014,360093.2356321839,1657.528735632184,3.1436781609195403
98065,2014,517541.89447236183,2572.5125628140704,3.5175879396984926
98198,2015,289613.9285714286,1657.469387755102,3.163265306122449
98108,2014,354086.7338129496,1726.1151079136691,3.2302158273381294
98107,2014,558015.1079545454,1551.4204545454545,2.977272727272727
98168,2014,233594.95744680852,1462.127659574468,3.00531914893617
98011,2015,505211.320754717,2246.509433962264,3.7169811320754715
98108,2015,360386.12765957444,1641.063829787234,3.127659574468085
98039,2014,2347731.891891892,4082.2972972972975,4.027027027027027
98102,2015,939100.6666666666,2265.925925925926,3.4444444444444446
98144,2015,558033.3275862068,1786.1206896551723,3.2586206896551726
98106,2014,311118.4811320755,1492.3207547169811,3.1273584905660377
