zipcode,year,precio_promedio
98030,2015,297393.11881188117
98126,2015,452018.0099009901
98115,2015,633354.3333333334
98032,2014,248700.3448275862
98065,2015,546640.8648648649
98028,2015,476956.0
98011,2014,484805.1830985916
98056,2015,417126.5035460993
98103,2014,578038.9629629629
98072,2015,561663.6701030928
98029,2015,619370.9782608695
98002,2014,234215.7803030303
98004,2014,1295630.1714285715
98116,2015,641194.0701754387
98006,2015,929326.1721854304
98126,2014,413803.2845849802
98008,2014,645482.5544041451
98133,2015,419265.3953488372
98118,2014,410130.91639871383
98042,2014,306969.5813953488
98059,2015,493465.2302631579
98003,2015,297560.4375
98052,2015,661818.993670886
98055,2014,298219.32558139536
98178,2014,306093.5135135135
98045,2014,424430.2469879518
98001,2014,275250.8693877551
98004,2015,1474266.8130841122
98059,2014,493594.5253164557
98038,2014,362377.0689655172
98155,2014,416564.2697368421
98199,2014,790335.5186915888
98023,2015,286895.756097561
98103,2015,602403.1352941176
98053,2015,667665.6854838709
98146,2014,360093.2356321839
98065,2014,517541.89447236183
98198,2015,289613.9285714286
98108,2014,354086.7338129496
98107,2014,558015.1079545454
98168,2014,233594.95744680852
98011,2015,505211.320754717
98108,2015,360386.12765957444
98039,2014,2347731.891891892
98102,2015,939100.6666666666
98144,2015,558033.3275862068
98106,2014,311118.4811320755
98188,2015,303355.1886792453
98178,2015,321470.67532467534
98056,2014,422893.3056603774
98177,2014,660875.7900552487
98010,2015,424490.94736842107
98198,2014,310021.5494505495
98034,2015,540802.3148148148
98033,2014,798343.5136986302
98010,2014,423160.37096774194
98077,2015,733917.5438596491
98027,2015,619575.6929133858
98019,2015,424246.9696969697
98117,2015,586930.6305732484
98075,2015,799124.4786324786
98146,2015,358552.1929824561
98148,2014,285849.74358974356
98116,2014,606727.5555555555
98119,2014,850026.1153846154
98144,2014,613206.9515418502
98040,2014,1187996.0408163266
98022,2014,315381.487012987
98125,2014,466995.45
98007,2014,618397.4752475248
98024,2014,550451.4
98031,2015,304999.36842105264
98166,2015,484827.61627906974
98115,2014,613597.2619647355
98058,2014,354325.2979452055
98092,2015,326080.44
98074,2015,691335.3114754099
98053,2014,682795.3523131673
98072,2014,574530.0284090909
98199,2015,794906.7475728155
98077,2014,662100.1843971631
98001,2015,292434.4871794872
98070,2015,515310.71428571426
98075,2014,786444.0289256198
98109,2014,889279.4303797468
98038,2015,374815.6291079812
98070,2014,478821.06666666665
98022,2015,316340.35
98105,2015,913999.4861111111
98034,2014,513553.088772846
98109,2015,854196.6666666666
98119,2015,848056.2962962963
98003,2014,292311.7173913043
98052,2014,638931.3822115385
98032,2015,257239.47368421053
98005,2015,826161.74
98092,2014,339810.78761061945
98168,2015,255956.54320987655
98107,2015,620195.0
98112,2014,1068574.1692307692
98058,2015,352324.79754601227
98007,2015,613841.8
98122,2015,639631.3855421686
98106,2015,334167.8780487805
98014,2014,457489.5869565217
98102,2014,888158.9743589744
98055,2015,315088.7604166667
98118,2015,429487.82233502535
98027,2014,615838.6350877193
98029,2014,609954.9301310044
98028,2014,454811.68648648646
98155,2015,439057.1971830986
98014,2015,450233.75
98105,2014,839356.7834394905
98005,2014,803386.5423728813
98019,2014,425077.1129032258
98031,2014,298173.1284916201
98188,2014,279961.8072289157
98166,2014,453688.7619047619
98122,2014,632246.6038647343
98023,2014,286653.0119402985
98074,2014,683414.5423197492
98006,2014,829379.734870317
98033,2015,814932.3428571429
98148,2015,282869.44444444444
98136,2014,550435.5088757396
98002,2015,234418.50746268657
98177,2015,713631.8513513514
98136,2015,553941.7021276596
98008,2015,645560.6111111111
98117,2014,572776.5909090909
98045,2015,484867.05454545456
98040,2015,1208437.6976744186
98112,2015,1166450.810810811
98030,2014,295402.69677419355
98039,2015,1628019.2307692308
98133,2014,369761.0745341615
98042,2015,319494.40196078434
98024,2015,629035.4838709678
98125,2015,474754.92307692306
